,corcoef
AT3G58420.1,0.11247026
AT1G03390.1,0.175084729
AT5G14960.1,0.074870348
AT1G27930.1,0.111584966
AT1G55475.2,0.077544456
AT2G47210.2,0.236107571
AT3G14460.1,0.083034048
AT5G05990.1,0.071551971
AT5G08470.2,0.241044319
AT3G59820.3,0.054372277
AT4G09425.1,0.192761598
AT3G49880.1,0.101002191
AT3G25970.1,0.130060697
AT2G09335.1,0.121619568
AT1G58440.1,0.11217592
AT2G17540.2,0.227966336
AT5G47080.3,0.14062399
AT4G08116.1,0.203760208
AT2G15980.1,0.188397036
AT3G04985.1,0.281154036
AT1G80660.3,0.116755626
AT1G48320.1,0.11891416
AT3G02625.1,0.087700953
AT3G45680.1,0.117129438
AT5G26720.1,0.091194865
AT3G57180.1,0.091851118
AT5G32800.1,0.221143331
AT5G05435.1,0.345241916
AT1G69325.1,0.152833427
AT1G04393.1,0.362471214
AT1G19530.1,0.229636659
AT2G07215.1,0.132989471
AT2G44230.1,0.151309529
AT5G27440.1,0.129608483
AT1G42170.1,0.217803932
AT4G33770.3,0.063364206
AT3G11710.1,0.139463503
AT2G17295.1,0.15520535
AT4G28210.1,0.174717479
AT3G08465.1,0.076719757
AT3G63430.2,0.0928255
AT4G05587.1,0.098329286
AT5G48810.1,0.207262463
AT2G08895.1,0.266848285
AT4G02480.1,0.062260787
AT3G30833.1,0.201722377
AT5G25870.1,0.191873619
AT1G24140.1,0.071986614
AT1G80370.1,0.082740989
AT2G21780.1,0.217411469
AT4G23110.1,0.225922503
AT4G06510.1,0.135830707
AT5G59350.1,0.214072746
AT2G28340.1,0.178866807
AT5G43035.1,0.226196655
AT3G55940.1,0.524140605
AT1G06890.1,0.182674422
AT5G55200.1,0.142410866
AT1G38131.1,0.050723289
AT3G06650.2,0.073968636
AT3G06780.1,0.266735549
AT4G04105.1,0.132768045
AT2G04395.3,0.220059701
AT1G07853.1,0.105311268
AT1G62330.1,0.166340138
AT4G22305.2,0.294616729
AT3G30415.1,0.171406882
AT3G22136.1,0.189552111
AT3G42803.1,0.267059549
AT1G19485.2,0.258416872
AT3G08725.1,0.066764336
AT3G59640.2,0.090856895
AT1G54170.1,0.148885454
AT4G02190.1,0.134370387
AT3G11505.1,0.171852713
AT4G24615.1,0.18365783
AT1G08737.1,0.072813935
AT1G80550.1,0.209179822
AT2G06290.1,0.19803227
AT3G10113.1,0.281963014
AT4G29090.1,0.160453632
AT1G76600.1,0.162787831
AT2G18160.1,0.09517677
AT5G03775.1,0.141787763
AT3G56150.1,0.094789123
AT5G07415.1,0.14116627
AT1G01725.1,0.248827548
AT1G14770.2,0.070129033
AT4G20090.1,0.079690082
AT1G68640.1,0.059111454
AT3G17220.1,0.202798051
AT5G02980.1,0.225659258
AT2G42090.1,0.10464586
AT3G55200.1,0.474816664
AT4G24972.1,0.186079011
AT1G26210.1,0.328263336
AT3G12560.2,0.106226929
AT1G54200.1,0.110538443
AT4G00520.4,0.057632232
AT3G32275.1,0.10389262
AT2G10000.1,0.189844477
AT3G05655.1,0.093950734
AT4G07664.1,0.111695967
AT2G02100.1,0.187133685
AT4G28680.6,0.115158867
AT3G22690.2,0.097235942
AT1G05530.1,0.191755523
AT1G18630.1,0.375260401
AT2G05550.1,0.1577988
AT4G28570.1,0.202785046
AT2G31080.1,0.217798965
AT2G40160.1,0.057053654
AT5G06610.1,0.231193908
AT2G22470.1,0.101610912
AT4G07738.1,0.267494456
AT1G54280.3,0.165098774
AT3G57400.1,0.101713314
AT1G71110.1,0.097299383
AT3G52090.2,0.163523022
AT2G42750.1,0.239325055
AT4G32320.1,0.088568738
AT3G23720.1,0.198047873
AT1G57290.1,0.188239108
AT4G18940.1,0.168738372
AT1G71440.1,0.105517023
AT4G06676.2,0.12739948
AT4G20430.3,0.252143646
AT5G35600.1,0.17171104
AT4G03255.1,0.153578416
AT3G27540.1,0.23541672
AT5G35923.1,0.122003898
AT5G59380.1,0.122386338
AT3G13870.1,0.146606081
AT2G07799.1,0.104308427
AT5G16640.1,0.217926454
AT4G33560.1,0.127198982
AT3G52360.1,0.11534571
AT3G17010.1,0.135146225
AT1G58520.5,0.21845779
AT1G68825.1,0.167868282
AT1G43040.2,0.202277886
AT5G63780.2,0.215161212
AT4G07090.1,0.067685065
AT2G06667.1,0.081172988
AT4G25235.1,0.196361268
AT3G01615.1,0.11795869
AT2G32250.5,0.442184854
AT4G07250.1,0.154561195
AT4G08114.1,0.180904522
AT1G73340.1,0.087431915
AT2G46710.1,0.100428281
AT1G31640.1,0.065935447
AT2G19500.1,0.074407856
AT5G07015.1,0.131772406
AT5G50120.1,0.076959051
AT1G19920.1,0.199059845
AT4G02900.2,0.061229539
AT1G09747.1,0.115187006
AT1G77060.1,0.239282264
AT5G24460.1,0.116870922
AT4G32120.1,0.152124841
AT3G48130.1,0.216569717
AT1G42615.1,0.224712371
AT2G08765.1,0.077118955
AT1G06737.1,0.088647575
AT2G09370.1,0.188002423
AT2G43240.1,0.242166439
AT2G37680.2,0.309842802
AT2G07235.1,0.161946547
AT3G61310.1,0.153053516
AT5G06935.1,0.196814082
AT5G32572.1,0.093793267
AT4G35210.1,0.140073834
AT1G03310.2,0.262307176
AT5G13610.1,0.139623348
AT2G01660.2,0.240808466
AT5G30440.1,0.238061947
AT5G04060.1,0.151218358
AT5G47950.1,0.261088826
AT5G40810.2,0.256428269
AT3G43570.1,0.104995682
